turbine,time,speed_k1,direction_k1,u_k1,v_k1,speed_k2,direction_k2,u_k2,v_k2,speed_k3,direction_k3,u_k3,v_k3,speed_k4,direction_k4,u_k4,v_k4
KWF3,2018-01-01 00:00:00,10.9966,256.5086,10.6931,2.5655,10.8872,255.7430,10.5519,2.6812,10.9082,256.8602,10.6226,2.4797,10.7549,256.4149,10.4540,2.5262
KWF3,2018-01-01 03:00:00,9.4814,250.0712,8.9137,3.2318,9.5478,248.7196,8.8968,3.4652,9.1860,250.6259,8.6658,3.0473,9.2563,250.8446,8.7438,3.0373
KWF3,2018-01-01 06:00:00,9.7619,217.5791,5.9533,7.7364,9.9806,217.7744,6.1137,7.8890,9.3141,215.7978,5.4481,7.5546,9.9372,218.3603,6.1671,7.7920
KWF3,2018-01-01 09:00:00,8.8306,202.0627,3.3170,8.1840,9.2027,202.2424,3.4835,8.5179,8.3282,200.6565,2.9379,7.7928,8.5909,201.6799,3.1736,7.9832
KWF3,2018-01-01 12:00:00,6.4943,211.3597,3.3797,5.5456,7.1164,214.1409,3.9939,5.8900,5.7273,207.5159,2.6460,5.0794,6.4445,211.0472,3.3237,5.5213
KWF3,2018-01-01 15:00:00,9.3774,267.6017,9.3691,0.3924,9.2543,265.3283,9.2236,0.7537,9.3207,269.5939,9.3205,0.0661,9.3608,267.4064,9.3512,0.4236
KWF3,2018-01-01 18:00:00,12.0874,255.2892,11.6912,3.0695,12.3306,254.3127,11.8713,3.3340,11.7593,256.1955,11.4196,2.8059,12.0679,255.3595,11.6761,3.0502
KWF3,2018-01-01 21:00:00,13.3553,285.4074,12.8754,-3.5483,13.2318,285.1574,12.7715,-3.4597,13.2367,284.7590,12.8000,-3.3721,12.9842,285.7043,12.4996,-3.5145
KWF3,2018-01-02 00:00:00,10.4173,276.4691,10.3510,-1.1737,10.5413,277.2582,10.4569,-1.3318,10.1810,275.3519,10.1366,-0.9496,10.1864,274.2269,10.1586,-0.7508
KWF3,2018-01-02 03:00:00,9.1688,272.0557,9.1629,-0.3289,9.0224,271.9229,9.0173,-0.3027,9.2743,272.4307,9.2660,-0.3933,8.8954,268.6416,8.8929,0.2109
KWF3,2018-01-02 06:00:00,8.9356,241.0398,7.8183,4.3266,9.1973,239.8288,7.9514,4.6224,8.5235,242.1492,7.5362,3.9819,8.5889,238.1648,7.2969,4.5305
KWF3,2018-01-02 09:00:00,7.1276,210.5313,3.6209,6.1394,7.2458,209.2578,3.5413,6.3214,6.7423,211.8281,3.5557,5.7285,6.9313,205.3203,2.9644,6.2654
KWF3,2018-01-02 12:00:00,8.8142,172.9923,-1.0754,8.7483,8.9665,172.1251,-1.2285,8.8820,8.2707,173.1720,-0.9833,8.2121,8.9861,172.3282,-1.1996,8.9056
KWF3,2018-01-02 15:00:00,10.5422,232.5862,8.3733,6.4051,10.9143,231.2659,8.5138,6.8291,10.1242,233.4300,8.1311,6.0321,10.4626,235.9300,8.6667,5.8612
KWF3,2018-01-02 18:00:00,10.3794,222.8751,7.0621,7.6064,10.6211,222.2657,7.1434,7.8599,9.9926,223.3829,6.8636,7.2624,10.3315,223.0079,7.0471,7.5550
KWF3,2018-01-02 21:00:00,10.8954,210.9224,5.5989,9.3468,11.3910,211.0005,5.8669,9.7640,10.1137,211.0083,5.2102,8.6684,10.8451,211.3442,5.6414,9.2624
KWF3,2018-01-03 00:00:00,14.4688,256.6339,14.0769,3.3448,14.1832,257.3683,13.8399,3.1016,14.6534,256.5480,14.2514,3.4088,14.2164,257.1105,13.8582,3.1713
KWF3,2018-01-03 03:00:00,14.0132,259.9695,13.7991,2.4407,14.1368,258.8054,13.8678,2.7445,13.6734,261.2039,13.5126,2.0909,14.1988,260.8054,14.0164,2.2688
KWF3,2018-01-03 06:00:00,17.5500,257.3049,17.1210,3.8569,17.9475,257.8752,17.5471,3.7697,16.9924,256.8049,16.5438,3.8788,17.3865,257.4064,16.9682,3.7908
KWF3,2018-01-03 09:00:00,15.1690,270.1411,15.1689,-0.0374,15.2588,269.6021,15.2584,0.1060,14.7320,270.1880,14.7319,-0.0483,14.5098,269.8364,14.5097,0.0414
KWF3,2018-01-03 12:00:00,12.7053,266.5788,12.6827,0.7582,12.8318,267.7663,12.8220,0.5001,12.5969,265.4616,12.5574,0.9968,12.7434,266.6882,12.7221,0.7362
KWF3,2018-01-03 15:00:00,15.3730,261.1095,15.1883,2.3758,15.4477,261.6877,15.2854,2.2333,15.1860,260.5158,14.9784,2.5023,15.7006,261.2580,15.5182,2.3863
KWF3,2018-01-03 18:00:00,12.0011,248.1485,11.1389,4.4668,12.0251,246.6173,11.0375,4.7724,11.9059,249.4376,11.1474,4.1817,11.7321,247.7345,10.8573,4.4453
KWF3,2018-01-03 21:00:00,11.7720,248.2917,10.9371,4.3543,11.7442,246.8698,10.8001,4.6134,11.6031,249.4714,10.8662,4.0689,11.6812,248.4089,10.8616,4.2985
KWF3,2018-01-04 00:00:00,9.0009,249.4536,8.4284,3.1590,9.0664,248.4536,8.4328,3.3297,8.7568,250.6801,8.2637,2.8971,8.9892,249.0551,8.3953,3.2134
