turbine,time,speed_k1,direction_k1,u_k1,v_k1,speed_k2,direction_k2,u_k2,v_k2,speed_k3,direction_k3,u_k3,v_k3,speed_k4,direction_k4,u_k4,v_k4
KWF2,2018-01-01 00:00:00,11.9626,256.6256,11.6382,2.7671,11.8747,255.8443,11.5141,2.9040,11.7160,256.4225,11.3886,2.7505,11.8596,256.9615,11.5538,2.6756
KWF2,2018-01-01 03:00:00,10.3898,249.9456,9.7598,3.5628,10.4840,248.6409,9.7639,3.8184,10.1588,250.5940,9.5817,3.3754,10.0685,250.5471,9.4937,3.3531
KWF2,2018-01-01 06:00:00,10.6726,218.6955,6.6723,8.3298,10.9353,218.8518,6.8598,8.5161,10.8816,219.3674,6.9021,8.4125,10.1839,216.9768,6.1255,8.1357
KWF2,2018-01-01 09:00:00,9.6363,202.9299,3.7543,8.8749,10.0420,203.1642,3.9502,9.2325,9.4083,202.6017,3.6158,8.6857,9.1153,201.3674,3.3211,8.4887
KWF2,2018-01-01 12:00:00,7.1116,213.8135,3.9576,5.9087,7.7762,216.0869,4.5803,6.2841,7.0584,213.3916,3.8847,5.8933,6.2645,210.0869,3.1405,5.4204
KWF2,2018-01-01 15:00:00,10.0848,267.9853,10.0786,0.3545,9.9696,265.7587,9.9422,0.7373,10.0692,267.8603,10.0621,0.3759,10.0457,270.0087,10.0457,-0.0015
KWF2,2018-01-01 18:00:00,13.1513,256.1729,12.7702,3.1431,13.3974,255.2823,12.9578,3.4037,13.1015,256.2276,12.7248,3.1190,12.8173,257.0089,12.4892,2.8813
KWF2,2018-01-01 21:00:00,14.3171,286.2188,13.7473,-3.9989,14.2057,286.0079,13.6549,-3.9175,13.9098,286.5704,13.3322,-3.9670,14.2057,285.5860,13.6834,-3.8169
KWF2,2018-01-02 00:00:00,11.2982,276.8518,11.2175,-1.3479,11.4193,277.7346,11.3154,-1.5369,11.0395,274.6799,11.0026,-0.9007,11.0619,275.6565,11.0080,-1.0903
KWF2,2018-01-02 03:00:00,10.1718,271.9532,10.1659,-0.3467,10.0087,272.0235,10.0025,-0.3534,10.0038,268.7657,10.0015,0.2155,10.2948,272.2266,10.2871,-0.4000
KWF2,2018-01-02 06:00:00,10.0735,242.1254,8.9047,4.7097,10.4240,241.2347,9.1377,5.0163,9.8664,239.4691,8.4985,5.0122,9.5403,243.0863,8.5069,4.3184
KWF2,2018-01-02 09:00:00,7.9192,210.7111,4.0444,6.8086,8.0647,209.5158,3.9732,7.0181,7.7542,205.6486,3.3564,6.9901,7.5022,211.7424,3.9469,6.3800
KWF2,2018-01-02 12:00:00,9.6580,173.9457,-1.0186,9.6042,9.8651,173.1098,-1.1835,9.7938,9.8753,173.4614,-1.1245,9.8111,9.0560,174.0942,-0.9318,9.0079
KWF2,2018-01-02 15:00:00,11.4513,233.4376,9.1978,6.8215,11.8576,232.0939,9.3558,7.2849,11.3957,236.7892,9.5343,6.2416,10.9884,234.2423,8.9171,6.4212
KWF2,2018-01-02 18:00:00,11.2504,223.7114,7.7743,8.1322,11.5166,223.1254,7.8727,8.4055,11.1962,223.7504,7.7424,8.0877,10.8276,224.1176,7.5374,7.7733
KWF2,2018-01-02 21:00:00,11.8209,211.4855,6.1739,10.0806,12.3800,211.5558,6.4788,10.5494,11.7965,211.8761,6.2296,10.0175,11.0089,211.5011,5.7523,9.3865
KWF2,2018-01-03 00:00:00,15.5825,257.0704,15.1874,3.4866,15.3125,257.8204,14.9678,3.2306,15.2905,257.4688,14.9262,3.3176,15.7763,256.9923,15.3715,3.5510
KWF2,2018-01-03 03:00:00,15.1131,260.2581,14.8952,2.5573,15.2542,259.1409,14.9811,2.8738,15.3084,261.0784,15.1232,2.3741,14.7855,261.4925,14.6228,2.1874
KWF2,2018-01-03 06:00:00,18.8529,257.8599,18.4313,3.9648,19.2850,258.4224,18.8926,3.8704,18.6424,257.9849,18.2340,3.8808,18.2640,257.4146,17.8252,3.9796
KWF2,2018-01-03 09:00:00,16.2808,270.5471,16.2800,-0.1555,16.3843,269.9768,16.3843,0.0066,15.5327,270.2581,15.5326,-0.0700,15.8520,270.6331,15.8511,-0.1751
KWF2,2018-01-03 12:00:00,13.6181,266.9852,13.5993,0.7162,13.7759,268.1258,13.7685,0.4505,13.6572,267.0555,13.6392,0.7016,13.5410,265.8992,13.5063,0.9683
KWF2,2018-01-03 15:00:00,16.4886,261.5243,16.3086,2.4303,16.5946,262.1024,16.4372,2.2801,16.8050,261.6571,16.6272,2.4383,16.3104,260.9696,16.1082,2.5600
KWF2,2018-01-03 18:00:00,13.0027,248.6251,12.1083,4.7391,13.0505,247.1563,12.0269,5.0664,12.7175,248.1798,11.8064,4.7270,12.9031,249.8985,12.1171,4.4346
KWF2,2018-01-03 21:00:00,12.8273,248.7817,11.9577,4.6425,12.8160,247.2973,11.8231,4.9464,12.7477,248.8598,11.8898,4.5975,12.6359,249.9379,11.8691,4.3346
KWF2,2018-01-04 00:00:00,9.9167,250.1174,9.3256,3.3726,9.9997,249.0706,9.3400,3.5721,9.9192,249.6721,9.3014,3.4458,9.6628,251.2815,9.1517,3.1010
